Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.01,0.34006386802766786
100% Corpus,9,0.31,0.31,0.3402015835215363
100% Corpus,9,0.31,0.61,0.3422899020869631
100% Corpus,9,0.31,0.9099999999999999,0.3455288159132818
100% Corpus,9,0.31,symmetric,0.3384381902573942
100% Corpus,9,0.61,0.01,0.34739849930517996
100% Corpus,9,0.61,0.31,0.34339055921712003
100% Corpus,9,0.61,0.61,0.3337468568998673
100% Corpus,9,0.61,0.9099999999999999,0.3352522611699399
100% Corpus,9,0.61,symmetric,0.3356310211420176
100% Corpus,9,0.9099999999999999,0.01,0.3408177799886746
100% Corpus,9,0.9099999999999999,0.31,0.34498205871477367
100% Corpus,9,0.9099999999999999,0.61,0.3375779633180389
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.33787180418782614
100% Corpus,9,0.9099999999999999,symmetric,0.3405996205810658
100% Corpus,9,symmetric,0.01,0.3330468829652156
100% Corpus,9,symmetric,0.31,0.33576954218816496
100% Corpus,9,symmetric,0.61,0.34841831757432346
100% Corpus,9,symmetric,0.9099999999999999,0.32180634448324835
100% Corpus,9,symmetric,symmetric,0.34049720903375835
100% Corpus,9,asymmetric,0.01,0.3338631725062644
100% Corpus,9,asymmetric,0.31,0.3341614458913532
100% Corpus,9,asymmetric,0.61,0.3289674315275501
100% Corpus,9,asymmetric,0.9099999999999999,0.33793401527313033
100% Corpus,9,asymmetric,symmetric,0.33390449626733487
100% Corpus,10,0.01,0.01,0.335273690868089
100% Corpus,10,0.01,0.31,0.33487648221324234
100% Corpus,10,0.01,0.61,0.3453921654417125
100% Corpus,10,0.01,0.9099999999999999,0.3482135597949486
100% Corpus,10,0.01,symmetric,0.3342505454525273
100% Corpus,10,0.31,0.01,0.3385116460147793
100% Corpus,10,0.31,0.31,0.34218835000932024
100% Corpus,10,0.31,0.61,0.3323952257349125
100% Corpus,10,0.31,0.9099999999999999,0.32843356543212143
100% Corpus,10,0.31,symmetric,0.3380792903933046
100% Corpus,10,0.61,0.01,0.34344024981908294
100% Corpus,10,0.61,0.31,0.3393182492890655
100% Corpus,10,0.61,0.61,0.34264580521272364
100% Corpus,10,0.61,0.9099999999999999,0.3330015219553758
100% Corpus,10,0.61,symmetric,0.33999429566681555
100% Corpus,10,0.9099999999999999,0.01,0.3428222498486709
100% Corpus,10,0.9099999999999999,0.31,0.3420063595324041
100% Corpus,10,0.9099999999999999,0.61,0.3366679002064186
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.33277444294668446
100% Corpus,10,0.9099999999999999,symmetric,0.3421822245891934
100% Corpus,10,symmetric,0.01,0.3348687428670035
100% Corpus,10,symmetric,0.31,0.33904633688312436
100% Corpus,10,symmetric,0.61,0.3446035095095006
100% Corpus,10,symmetric,0.9099999999999999,0.34781359168724907
100% Corpus,10,symmetric,symmetric,0.3410352581882889
100% Corpus,10,asymmetric,0.01,0.33134351262666895
100% Corpus,10,asymmetric,0.31,0.33205949639100724
100% Corpus,10,asymmetric,0.61,0.32862464739018105
100% Corpus,10,asymmetric,0.9099999999999999,0.3359053754680295
100% Corpus,10,asymmetric,symmetric,0.33567962473180357
