Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.9099999999999999,0.3392400447154815
75% Corpus,5,symmetric,symmetric,0.33917728384791324
75% Corpus,5,asymmetric,0.01,0.3363051223733515
75% Corpus,5,asymmetric,0.31,0.33205949639100724
75% Corpus,5,asymmetric,0.61,0.3407302537382514
75% Corpus,5,asymmetric,0.9099999999999999,0.3225470056531685
75% Corpus,5,asymmetric,symmetric,0.33499359265732054
75% Corpus,6,0.01,0.01,0.3356210687259837
75% Corpus,6,0.01,0.31,0.3379484476686997
75% Corpus,6,0.01,0.61,0.34674219882754204
75% Corpus,6,0.01,0.9099999999999999,0.3474536294707714
75% Corpus,6,0.01,symmetric,0.3352734480906914
75% Corpus,6,0.31,0.01,0.34112306003918025
75% Corpus,6,0.31,0.31,0.3366739616084352
75% Corpus,6,0.31,0.61,0.32890004189618294
75% Corpus,6,0.31,0.9099999999999999,0.3429432572078484
75% Corpus,6,0.31,symmetric,0.3347858502288804
75% Corpus,6,0.61,0.01,0.3473984993051799
75% Corpus,6,0.61,0.31,0.342103865144251
75% Corpus,6,0.61,0.61,0.3351893309592203
75% Corpus,6,0.61,0.9099999999999999,0.33910029509997947
75% Corpus,6,0.61,symmetric,0.3411642591730423
75% Corpus,6,0.9099999999999999,0.01,0.34125974378595847
75% Corpus,6,0.9099999999999999,0.31,0.34530229813885904
75% Corpus,6,0.9099999999999999,0.61,0.3388540280086955
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3383563979426703
75% Corpus,6,0.9099999999999999,symmetric,0.3433940868391384
75% Corpus,6,symmetric,0.01,0.3336181499787185
75% Corpus,6,symmetric,0.31,0.33885320955274845
75% Corpus,6,symmetric,0.61,0.3267033657591323
75% Corpus,6,symmetric,0.9099999999999999,0.34803792321676197
75% Corpus,6,symmetric,symmetric,0.34003527226049396
75% Corpus,6,asymmetric,0.01,0.32961209263171765
75% Corpus,6,asymmetric,0.31,0.3307395712051621
75% Corpus,6,asymmetric,0.61,0.3378036352311135
75% Corpus,6,asymmetric,0.9099999999999999,0.3267214367586207
75% Corpus,6,asymmetric,symmetric,0.3326343312733945
75% Corpus,7,0.01,0.01,0.33531672747101204
75% Corpus,7,0.01,0.31,0.3409138133000821
75% Corpus,7,0.01,0.61,0.34539216544171253
75% Corpus,7,0.01,0.9099999999999999,0.34027421800472063
75% Corpus,7,0.01,symmetric,0.33271372377977954
75% Corpus,7,0.31,0.01,0.33761360254875866
75% Corpus,7,0.31,0.31,0.3423152891739074
75% Corpus,7,0.31,0.61,0.34178516713740303
75% Corpus,7,0.31,0.9099999999999999,0.32567481136546134
75% Corpus,7,0.31,symmetric,0.3400451194418839
75% Corpus,7,0.61,0.01,0.34283648294401664
75% Corpus,7,0.61,0.31,0.3407839399584059
75% Corpus,7,0.61,0.61,0.3439958385985532
75% Corpus,7,0.61,0.9099999999999999,0.3396644156239951
75% Corpus,7,0.61,symmetric,0.33816432131311946
75% Corpus,7,0.9099999999999999,0.01,0.34125063612814666
75% Corpus,7,0.9099999999999999,0.31,0.3413205629183955
75% Corpus,7,0.9099999999999999,0.61,0.3321804621295005
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.33782980455261646
75% Corpus,7,0.9099999999999999,symmetric,0.3417179237210391
75% Corpus,7,symmetric,0.01,0.3375945727600158
75% Corpus,7,symmetric,0.31,0.34021723448796615
75% Corpus,7,symmetric,0.61,0.3259492433110803
75% Corpus,7,symmetric,0.9099999999999999,0.3409892432828777
75% Corpus,7,symmetric,symmetric,0.33880517148173667
75% Corpus,7,asymmetric,0.01,0.3272278688448858
